id,name,symbol,weight
459,Viacom Inc. Class B,VIAB,0.030134
460,Tapestry Inc.,TPR,0.029613
461,Newell Brands Inc,NWL,0.029078
462,DXC Technology Co.,DXC,0.028752
463,Perrigo Co. Plc,PRGO,0.028619
464,Nielsen Holdings Plc,NLSN,0.028017
465,Pentair plc,PNR,0.027649
466,Mosaic Company,MOS,0.027476
467,FLIR Systems Inc.,FLIR,0.027419
468,SL Green Realty Corp.,SLG,0.027335
469,A. O. Smith Corporation,AOS,0.027263
470,Robert Half International Inc.,RHI,0.026703
471,Leggett & Platt Incorporated,LEG,0.026304
472,PVH Corp.,PVH,0.026071
473,Sealed Air Corporation,SEE,0.025859
474,Albemarle Corporation,ALB,0.025702
475,Invesco Ltd.,IVZ,0.025702
476,Xerox Holdings Corporation,XRX,0.025613
477,People's United Financial Inc.,PBCT,0.025285
478,Flowserve Corporation,FLS,0.024772
479,Harley-Davidson Inc.,HOG,0.024485
480,Quanta Services Inc.,PWR,0.024117
481,Unum Group,UNM,0.022791
482,DaVita Inc.,DVA,0.022513
483,Hanesbrands Inc.,HBI,0.021851
484,Rollins Inc.,ROL,0.021282
485,News Corporation Class A,NWSA,0.020362
486,Ralph Lauren Corporation Class A,RL,0.019878
487,H&R Block Inc.,HRB,0.019839
488,Fox Corporation Class B,FOX,0.019799
489,IPG Photonics Corporation,IPGP,0.018848
490,Capri Holdings Limited,CPRI,0.018732
491,Macy's Inc,M,0.018507
492,Cimarex Energy Co.,XEC,0.016892
493,Discovery Inc. Class A,DISCA,0.016816
494,Helmerich & Payne Inc.,HP,0.016377
495,Alliance Data Systems Corporation,ADS,0.016254
496,Affiliated Managers Group Inc.,AMG,0.016173
497,TripAdvisor Inc.,TRIP,0.016098
498,L Brands Inc.,LB,0.015156
499,Nordstrom Inc.,JWN,0.014965
500,Under Armour Inc. Class A,UAA,0.014879
501,Under Armour Inc. Class C,UA,0.014203
502,Coty Inc. Class A,COTY,0.013929
503,Gap Inc.,GPS,0.013884
504,Macerich Company,MAC,0.011485
505,News Corporation Class B,NWS,0.006907
